segment_id,time_interval,name,link
--330hg-Ocw_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/--330hg-Ocw']
--7UmfOkRbM_30000,"[(7.882, 8.213)]",['Airhorn_truckhorn'],['youtu.be/--7UmfOkRbM']
--HXYSM3ydo_2000,"[(0.0, 9.703), (7.138, 9.703)]","['Mediumengine(midfrequency)', 'Vehiclehorn_carhorn_honking']",['youtu.be/--HXYSM3ydo']
--PMnfMhn1A_30000,"[(0.0, 1.309), (2.152, 5.959)]","['Vehiclehorn_carhorn_honking', 'Vehiclehorn_carhorn_honking']",['youtu.be/--PMnfMhn1A']
--v1WjOJv-w_150000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/--v1WjOJv-w']
--zgVsqtUgE_30000,"[(8.381, 10.0)]",['Vehiclehorn_carhorn_honking'],['youtu.be/--zgVsqtUgE']
-0MnD7jBvkE_0,"[(0.427, 3.477)]",['Tiresqueal'],['youtu.be/-0MnD7jBvkE']
-10fWp7Pqs4_30000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-10fWp7Pqs4']
-12Z-4hvmyU_350000,"[(0.138, 0.401)]",['Vehiclehorn_carhorn_honking'],['youtu.be/-12Z-4hvmyU']
-1oUWvnBBhc_110000,"[(0.0, 10.0)]",['Racecar_autoracing'],['youtu.be/-1oUWvnBBhc']
-1xQ5m9yCK8_30000,"[(0.0, 10.0)]",['Heavyengine(lowfrequency)'],['youtu.be/-1xQ5m9yCK8']
-2GC25ao1Og_30000,"[(0.0, 10.0)]",['Mediumengine(midfrequency)'],['youtu.be/-2GC25ao1Og']
-3MV6T3u9Ig_30000,"[(0.0, 10.0)]",['Trafficnoise_roadwaynoise'],['youtu.be/-3MV6T3u9Ig']
-3Qyf1jECX0_10000,"[(7.327, 10.0)]",['Motorboat_speedboat'],['youtu.be/-3Qyf1jECX0']
-3YeIAVRaOs_250000,"[(0.0, 10.0)]",['Motorcycle'],['youtu.be/-3YeIAVRaOs']
