video,Time(s)-sc,Time(s),Flight Code,Aircraft & origin-destination,flight time,Labeled Time(MM:SS),Labels,Labeled Time(s),,,video lengths(SS),video lengths(MM:SS),video lengths(s)
1,0,1655925359, EK405 , Boeing 777 Melbourne ~ Singapore , Flight Time: 7:15,00:00 , Emirates Boeing 777-300ER Takeoff to Singapore,0,,,2147,35:47,2146
https://youtu.be/HtvHMwrbi6A,30,1655925389, Ble , Boeing 787 Melbourne - Brunei , Flight Time: 6:00,00:37 , Royal Brunei Airlines Boeing 787-8 Takeoff to Brunei,37,,,1978,32:58,1977
,63,1655925422, $Q217 , Airbus A380 Singapore - Melbourne , Flight Time: 7:00,01:08 , Singapore Airlines Airbus A380-800 Landing from Singapore,68,,,1985,33:05 ,1985
,114,1655925473, TG461 , Boeing 777 Bangkok - Melbourne , Flight Time: 8:15,01:56 , Thai Airways Boeing 777-200ER Landing from Bangkok,116,,,1760,29:20 ,1759
,168,1655925527, JQL , Boeing 787 Melbourne - Honolulu , Flight Time: 10:20,02:50 , Jetstar Boeing 787-8 Takeoff to Honolulu  ,170,,,1360,22:40,1359
,201,1655925560, QFq , Boeing 787 Melbourne - Perth , Flight Time: 3:30,03:27 , Qantas Boeing 787-9 Takeoff to Perth ,207,,,1294,21:34,1293
,252,1655925611, QFa4 , Airbus A380 Los Angeles - Melbourne , Flight Time: 13:50,04:20 , Qantas Airbus A380-800 Landing from Los Angeles ,260,,,1519,25:19,1518
,287,1655925646, JQ30 , Boeing 787 Bangkok - Melbourne , Flight Time: 8:10,04:50 , Jetstar Boeing 787-8 Landing from Bangkok,290,,,1708,28:28,1707
,328,1655925687, QF37 , Airbus A330 Melbourne ~ Singapore , Flight Time: 7:00,05:35 , Qantas Airbus A330-200 Takeoff to Singapore ,335,,,1633,27:13,1632
,360,1655925719, UL@os , Airbus A330 Melbourne - Colombo , Flight Time: 10:15,06:06 , SriLankan Airlines Airbus A330-300 Takeoff to Colombo ,366,,,1249,20:49,1249
,394,1655925753, 3U602 , Airbus A550 Chengdu - Melbourne , Flight Time: 9:45,06:37 , Sichuan Airlines Airbus A350-900 Landing from Chengdu ,397,,,1348,22:28,1347
,442,1655925801, 5J49 , Airbus A330 Manila - Melbourne , Flight Time: 8:45,07:22 , Cebu Pacific Airbus A330-300 Landing from Manila ,442,,,1308,21:48,1307
,486,1655925845, YQ2 , Boeing 787 Honolulu - Melbourne , Flight Time: 10:05,08:03 , Jetstar Boeing 787-8 Landing from Honolulu ,483,,,1470,24:30,1469
,527,1655925886, Ansett , DC-3 Melbourne ~ Melbourne , Flight Time: 2:00,08:44 , Ansett DC-3 Landing from Melbourne ,524,,,1405,23:25,1404
,578,1655925937, QF409 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,09:35 , Qantas Airbus A330-200 Landing from Sydney ,575,,,1367,22:47,1366
,617,1655925976, D7212 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,10:15 , AirAsia X Airbus A330-300 Landing from Kuala Lumpur ,615,,,1916,31:56,1915
