Type,MTOW [kg],MLW [tonnes],TOR [m],LR [m],ICAO category,FAA category,type-[],Num jet engines,num props,total engines,engine type
Embraer Phenom 100,4800,4.43,975,741,Light,Small,Embraer Phenom 100,2,,2,jet
de Havilland Hercules,7000,,,,Medium,Small,de Havilland Hercules,,,,
Cessna Citation CJ4[26],7761,7.103,1039,896,Medium,Small,Cessna Citation CJ4,,,,
Beechcraft 1900D,7765,7.605,1036,853,Medium,Small,Beechcraft 1900D,,,,
Embraer Phenom 300[25],8150,7.65,956,677,Medium,Small,Embraer Phenom 300,,,,
Pilatus PC-24[24],8300,7.665,893,724,Medium,Small,Pilatus PC-24,,,,
Learjet 75[23],9752,8.709,1353,811,Medium,Small,Learjet 75,,,,
BAe Jetstream 41,10890,10.57,1493,826,Medium,Small,BAe Jetstream 41,,2,2,propeller
Embraer 120 Brasilia,11500,11.25,1560,1380,Medium,Small,Embraer 120 Brasilia,,,,
Saab 340,13150,12.93,1300,1030,Medium,Small,Saab 340,,2,2,propeller
ATR 42-500,18600,18.3,1165,1126,Medium,Small,ATR 42-500,,,,
Embraer ERJ 145,22000,19.3,2270,1380,Medium,Large,Embraer ERJ 145,2,,2,jet
ATR 72-600,22800,22.35,1333,914,Medium,Large,ATR 72-600,,2,2,propeller
Saab 2000,22800,21.5,1300,,Medium,Large,Saab 2000,,,,
Bombardier CRJ200,23000,21.319,1918,1479,Medium,Large,Bombardier CRJ-200,2,,2,jet
Bombardier Q400,28000,28.01,1219,1295,Medium,Large,Bombardier Q400,,,,
Vickers Viscount 800,30400,,,,Medium,Large,Vickers Viscount 800,,,,
Dash-8-Q400,30500,,,,Medium,Large,Dash-8-Q400,,2,2,propeller
RAAFFalcon7x,31700,,,,Medium,Large,RAAFFalcon7x,3,,3,jet
Bombardier CRJ700,33000,30.39,1564,1478,Medium,Large,Bombardier CRJ-700,2,,2,jet
Douglas DC-4,33000,,,,Medium,Large,Douglas DC-4,,2,2,propeller
Embraer 170[22],36000,32.8,1644,1274,Medium,Large,Embraer 170,2,,2,jet
Bombardier CRJ-900[21],36500,33.345,1778,1596,Medium,Large,Bombardier CRJ-900,2,,2,jet
Embraer 175[20],37500,32.8,2244,1304,Medium,Large,Embraer 175,2,,2,jet
CRJ1000EL,38900,,,,Medium,Large,CRJ-1000EL,2,,2,jet
Handley Page Hermes,39000,,,,Medium,Large,Handley Page Hermes,,,,
CRJ1000,41000,,,,Medium,Large,CRJ-1000,2,,2,jet
Avro RJ-85,42000,36.74,,,Medium,Large,Avro RJ-85,,,,
BAE-146,42100,,,,Medium,Large,BAE-146,4,,4,jet
Douglas DC-6,44000,,,,Medium,Large,Douglas DC-6,,,,
G6000,45100,,,,Medium,Large,G6000,2,,2,jet
Caravelle III,46000,,,,Medium,Large,Caravelle III,,,,
Fokker 100,46000,39.95,1621,1350,Medium,Large,Fokker 100,2,,2,jet
RJ-100,46000,,,,Medium,Large,RJ-100,4,,4,jet
Embraer 190[19],48000,43,2056,1323,Medium,Large,Embraer 190,2,,2,jet
Douglas DC-6B,48500,,,,Medium,Large,Douglas DC-6B,,,,
Douglas DC-6A,48600,,,,Medium,Large,Douglas DC-6A,,,,
Embraer 195,50000,,,,Medium,Large,Embraer 195,2,,2,jet
